id,mission_id,url,attribution,description,source,type,sub_type
2,2,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Apollo_1_patch.png/1017px-Apollo_1_patch.png,"NASA, Public domain, via Wikimedia Commons","This is the insignia for the National Aeronautics and Space Administration's (NASA) Apollo 1 mission, the first manned Apollo flight. Crew members are astronauts Virgil I. Grissom, Edward H. White II and Roger B. Chaffee",https://en.wikipedia.org/wiki/File:Apollo_1_patch.png,image,insignia
3,2,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Apollo_1_Prime_Crew_-_GPN-2000-001159.jpg,"NASA, Public domain, via Wikimedia Commons","Portrait of the Apollo 1 prime crew for first manned Apollo space flight. From left to right are: Edward H. White II, Virgil I. ""Gus"" Grissom, and Roger B. Chaffee. On January 27, 1967 at 5:31 p.m. CST (6:31 local time) during a routine simulated launch test onboard the Apollo Saturn V Moon rocket, an electrical short circuit inside the Apollo Command Module ignited the pure oxygen environment and within a matter of seconds all three Apollo 1 crewmembers perished",https://en.wikipedia.org/wiki/File:Apollo_1_Prime_Crew_-_GPN-2000-001159.jpg,image,portrait
4,3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Apollo7.png/1277px-Apollo7.png,"NASA, Public domain, via Wikimedia Commons","The official emblem of Apollo 7, the first manned Apollo space mission. The crew will consist of astronauts Walter M. Schirra Jr., Donn F. Eisele, and Walter Cunningham",https://commons.wikimedia.org/wiki/File:Apollo7.png,image,insignia
5,3,https://www.youtube.com/embed/cNwxG8FbEiM,,"Apollo 7 was the first manned mission in the United States Apollo space program, and the first manned US space flight after a cabin fire killed the crew of what was to have been the first manned mission, AS-204 (later renamed Apollo 1), during a launch pad test in 1967. It was a C type mission—an 11-day Earth-orbital mission, the first manned launch of the Saturn IB launch vehicle, and the first three-person US space mission. The crew was commanded by Walter M. Schirra, with Command Module Pilot Donn F. Eisele, and Lunar Module Pilot R. Walter Cunningham.",https://www.youtube.com/watch?v=cNwxG8FbEiM,video,launch
6,4,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/NASA-Apollo8-Dec24-Earthrise.jpg,NASA/Bill Anders,"Taken by Apollo 8 crewmember Bill Anders on December 24, 1968, at mission time 075:49:07 [8](16:40 UTC), while in orbit around the Moon, showing the Earth rising for the third time above the lunar horizon. The lunar horizon is approximately 780 kilometers from the spacecraft. Width of the photographed area at the lunar horizon is about 175 kilometers. [9] The land mass visible just above the terminator line is west Africa. Note that this phenomenon is only visible to an observer in motion relative to the lunar surface. Because of the Moon's synchronous rotation relative to the Earth (i.e., the same side of the Moon is always facing Earth), the Earth appears to be stationary (measured in anything less than a geological timescale) in the lunar ""sky"". In order to observe the effect of Earth rising or setting over the Moon's horizon, an observer must travel towards or away from the point on the lunar surface where the Earth is most directly overhead (centred in the sky). Otherwise, the Earth's apparent motion/visible change will be limited to: 1. Growing larger/smaller as the orbital distance between the two bodies changes. 2. Slight apparent movement of the Earth due to the eccenticity of the Moon's orbit, the effect being called libration. 3. Rotation of the Earth (the Moon's rotation is synchronous relative to the Earth, the Earth's rotation is not synchronous relative to the Moon). 4. Atmospheric & surface changes on Earth (i.e.: weather patterns, changing seasons, etc.). Two craters, visible on the image were named 8 Homeward and Anders' Earthrisein honor of Apollo 8 by IAU in 2018.",https://en.wikipedia.org/wiki/File:NASA-Apollo8-Dec24-Earthrise.jpg,image,mission
7,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Apollo-8-patch.png/700px-Apollo-8-patch.png,"NASA, Jim Lovell","This is the Apollo 8 mission patch. Designed by Jim Lovell
This is the official emblem of the Apollo 8 lunar orbit mission. The crew will consist of astronauts Frank Borman, commander; James A. Lovell Jr., command module pilot; and William A. Anders, lunar module pilot",https://en.wikipedia.org/wiki/File:Apollo-8-patch.png,image,insignia
8,4,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Apollo_8_Crewmembers_-_GPN-2000-001125.jpg/805px-Apollo_8_Crewmembers_-_GPN-2000-001125.jpg,NASA,"Apollo 8 crew is photographed posing on a Kennedy Space Center (KSC) simulator in their space suits. From left to right are: James A. Lovell Jr., William A. Anders, and Frank Borman.",https://en.wikipedia.org/wiki/File:Apollo_8_Crewmembers_-_GPN-2000-001125.jpg,image,portrait
9,5,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Apollo_9_mission_patch.png/590px-Apollo_9_mission_patch.png,Allen Stevens/NASA,Apollo 9 official mission patch,https://en.wikipedia.org/wiki/File:Apollo_9_mission_patch.png,image,insignia
10,5,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Apollo9_Prime_Crew.jpg/1280px-Apollo9_Prime_Crew.jpg,NASA,"The crew of Apollo 9 - James A. McDivitt (CMDR), David R. Scott (CMP) and Russell L. Schweickart (LMP)
",https://en.wikipedia.org/wiki/File:Apollo9_Prime_Crew.jpg,image,portrait
11,6,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Apollo-10-LOGO.png/959px-Apollo-10-LOGO.png,NASA,"Emblem of the Apollo 10 lunar orbit mission. The prime crew of Apollo 10 is astronauts Thomas P. Stafford, commander; John W. Young, command module pilot; and Eugene A. Cernan, lunar module pilot.",https://en.wikipedia.org/wiki/File:Apollo-10-LOGO.png,image,insignia
12,6,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/The_Apollo_10_Prime_Crew_-_GPN-2000-001163.jpg/1024px-The_Apollo_10_Prime_Crew_-_GPN-2000-001163.jpg,NASA,"The prime crew of the Apollo 10 lunar orbit mission at the Kennedy Space Center. They are from left to right: Lunar Module pilot, Eugene A. Cernan, Commander, Thomas P. Stafford, and Command Module pilot John W. Young.",https://en.wikipedia.org/wiki/File:The_Apollo_10_Prime_Crew_-_GPN-2000-001163.jpg,image,portrait
